Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
30.361,0,30.361,0
30.362,0,30.362,1
30.363,0,30.363,0
30.364,0,30.364,0
30.365,0,30.365,0
30.366,0,30.366,0
30.367,0,30.367,0
30.368,0,30.368,0
30.369,0,30.369,0
30.37,0,30.37,0
30.371,1,30.371,0
30.372,0,30.372,3
30.373,2,30.373,2
30.374,2,30.374,2
30.375,1,30.375,1
30.376,1,30.376,1
30.377,1,30.377,0
30.378,0,30.378,0
30.379,2,30.379,1
30.38,2,30.38,0
30.381,0,30.381,0
30.382,0,30.382,1
30.383,0,30.383,0
30.384,0,30.384,0
30.385,0,30.385,0
30.386,0,30.386,0
30.387,0,30.387,0
30.388,0,30.388,0
30.389,0,30.389,0
30.39,0,30.39,0
30.391,1,30.391,0
30.392,0,30.392,3
30.393,2,30.393,2
30.394,2,30.394,2
30.395,1,30.395,1
30.396,1,30.396,1
30.397,1,30.397,0
30.398,0,30.398,0
30.399,2,30.399,1
30.4,2,30.4,0
30.401,0,30.401,0
30.402,0,30.402,1
30.403,0,30.403,0
30.404,0,30.404,0
30.405,0,30.405,0
30.406,0,30.406,0
30.407,0,30.407,0
30.408,0,30.408,0
30.409,0,30.409,0
30.41,0,30.41,0
30.411,1,30.411,0
30.412,0,30.412,3
30.413,2,30.413,2
30.414,2,30.414,2
30.415,1,30.415,1
30.416,1,30.416,1
30.417,1,30.417,0
30.418,0,30.418,0
30.419,2,30.419,1
30.42,2,30.42,0
30.421,0,30.421,0
30.422,0,30.422,1
30.423,0,30.423,0
30.424,0,30.424,0
30.425,0,30.425,0
30.426,0,30.426,0
30.427,0,30.427,0
30.428,0,30.428,0
30.429,0,30.429,0
30.43,0,30.43,0
30.431,1,30.431,0
30.432,0,30.432,3
30.433,2,30.433,2
30.434,2,30.434,2
30.435,1,30.435,1
30.436,1,30.436,1
30.437,1,30.437,0
30.438,0,30.438,0
30.439,2,30.439,1
30.44,2,30.44,0
30.441,0,30.441,0
30.442,0,30.442,1
30.443,0,30.443,0
30.444,0,30.444,0
30.445,0,30.445,0
30.446,0,30.446,0
30.447,0,30.447,0
30.448,0,30.448,0
30.449,0,30.449,0
30.45,0,30.45,0
30.451,1,30.451,0
30.452,0,30.452,3
30.453,2,30.453,2
30.454,2,30.454,2
30.455,1,30.455,1
30.456,1,30.456,1
30.457,1,30.457,0
30.458,0,30.458,0
30.459,2,30.459,1
30.46,2,30.46,0
30.461,0,30.461,0
30.462,1,30.462,1
30.463,0,30.463,0
30.464,0,30.464,0
30.465,0,30.465,0
30.466,0,30.466,0
30.467,0,30.467,0
30.468,0,30.468,0
30.469,0,30.469,0
30.47,0,30.47,0
30.471,1,30.471,0
30.472,0,30.472,3
30.473,2,30.473,2
30.474,2,30.474,2
30.475,1,30.475,1
30.476,1,30.476,1
30.477,1,30.477,0
30.478,0,30.478,0
30.479,2,30.479,1
30.48,2,30.48,0
30.481,0,30.481,0
30.482,1,30.482,1
30.483,0,30.483,0
30.484,0,30.484,0
30.485,0,30.485,0
30.486,0,30.486,0
30.487,0,30.487,0
30.488,0,30.488,0
30.489,0,30.489,0
30.49,0,30.49,0
30.491,1,30.491,0
30.492,0,30.492,3
30.493,2,30.493,2
30.494,2,30.494,2
30.495,1,30.495,1
30.496,1,30.496,1
30.497,1,30.497,0
30.498,0,30.498,0
30.499,2,30.499,1
30.5,2,30.5,0
30.501,0,30.501,0
30.502,0,30.502,1
30.503,0,30.503,0
30.504,0,30.504,0
30.505,0,30.505,0
30.506,0,30.506,0
30.507,0,30.507,0
30.508,0,30.508,0
30.509,0,30.509,0
30.51,0,30.51,0
30.511,1,30.511,0
30.512,0,30.512,3
30.513,2,30.513,2
30.514,2,30.514,2
30.515,1,30.515,1
30.516,1,30.516,1
30.517,1,30.517,0
30.518,0,30.518,0
30.519,2,30.519,1
30.52,2,30.52,0
30.521,0,30.521,0
30.522,0,30.522,0
30.523,0,30.523,0
30.524,0,30.524,0
30.525,0,30.525,0
30.526,0,30.526,0
30.527,0,30.527,0
30.528,0,30.528,0
30.529,0,30.529,0
30.53,0,30.53,0
30.531,1,30.531,0
30.532,0,30.532,3
30.533,2,30.533,2
30.534,2,30.534,2
30.535,1,30.535,1
30.536,1,30.536,1
30.537,1,30.537,0
30.538,0,30.538,0
30.539,2,30.539,1
30.54,2,30.54,0
30.541,0,30.541,0
30.542,0,30.542,0
30.543,0,30.543,0
30.544,0,30.544,0
30.545,0,30.545,0
30.546,0,30.546,0
30.547,0,30.547,0
30.548,0,30.548,0
30.549,0,30.549,0
30.55,0,30.55,0
30.551,1,30.551,0
30.552,0,30.552,3
30.553,2,30.553,2
30.554,2,30.554,2
30.555,1,30.555,1
30.556,1,30.556,1
30.557,1,30.557,0
30.558,0,30.558,0
30.559,2,30.559,1
30.56,2,30.56,0
30.561,0,30.561,0
30.562,0,30.562,0
30.563,0,30.563,0
30.564,0,30.564,0
30.565,0,30.565,0
30.566,0,30.566,0
30.567,0,30.567,0
30.568,0,30.568,0
30.569,0,30.569,0
30.57,0,30.57,0
30.571,1,30.571,0
30.572,0,30.572,3
30.573,2,30.573,2
30.574,2,30.574,2
30.575,1,30.575,1
30.576,1,30.576,1
30.577,1,30.577,0
30.578,0,30.578,0
30.579,2,30.579,1
30.58,2,30.58,0
30.581,0,30.581,0
30.582,0,30.582,0
30.583,0,30.583,0
30.584,0,30.584,0
30.585,0,30.585,0
30.586,0,30.586,0
30.587,0,30.587,0
30.588,0,30.588,0
30.589,0,30.589,0
30.59,0,30.59,0
30.591,1,30.591,0
30.592,0,30.592,3
30.593,2,30.593,2
30.594,2,30.594,2
30.595,1,30.595,1
30.596,1,30.596,1
30.597,1,30.597,0
30.598,0,30.598,0
30.599,2,30.599,1
30.6,2,30.6,0
30.601,0,30.601,0
30.602,0,30.602,0
30.603,0,30.603,0
30.604,0,30.604,0
30.605,0,30.605,0
30.606,0,30.606,0
30.607,0,30.607,0
30.608,0,30.608,0
30.609,0,30.609,0
30.61,0,30.61,0
30.611,1,30.611,0
30.612,0,30.612,3
30.613,2,30.613,2
30.614,2,30.614,2
30.615,1,30.615,1
30.616,1,30.616,1
30.617,1,30.617,0
30.618,0,30.618,0
30.619,1,30.619,1
30.62,2,30.62,0
30.621,0,30.621,0
30.622,0,30.622,0
30.623,0,30.623,0
30.624,0,30.624,0
30.625,0,30.625,0
30.626,0,30.626,0
30.627,0,30.627,0
30.628,0,30.628,0
30.629,0,30.629,0
30.63,0,30.63,0
30.631,1,30.631,0
30.632,0,30.632,3
30.633,2,30.633,2
30.634,2,30.634,2
30.635,1,30.635,1
30.636,1,30.636,1
30.637,1,30.637,0
30.638,0,30.638,0
30.639,1,30.639,1
30.64,2,30.64,0
30.641,0,30.641,0
30.642,0,30.642,0
30.643,0,30.643,0
30.644,0,30.644,0
30.645,0,30.645,0
30.646,0,30.646,0
30.647,0,30.647,0
30.648,0,30.648,0
30.649,0,30.649,0
30.65,0,30.65,0
30.651,1,30.651,0
30.652,0,30.652,3
30.653,2,30.653,2
30.654,2,30.654,2
30.655,1,30.655,1
30.656,1,30.656,1
30.657,1,30.657,0
30.658,0,30.658,0
30.659,1,30.659,1
30.66,3,30.66,0
30.661,0,30.661,0
30.662,0,30.662,0
30.663,0,30.663,0
30.664,0,30.664,0
30.665,0,30.665,0
30.666,0,30.666,0
30.667,0,30.667,0
30.668,0,30.668,0
30.669,0,30.669,0
30.67,0,30.67,0
30.671,1,30.671,0
30.672,0,30.672,3
30.673,2,30.673,2
30.674,2,30.674,2
30.675,1,30.675,1
30.676,1,30.676,1
30.677,1,30.677,0
30.678,0,30.678,0
30.679,1,30.679,1
30.68,2,30.68,0
30.681,0,30.681,0
30.682,0,30.682,0
30.683,0,30.683,0
30.684,0,30.684,0
30.685,0,30.685,0
30.686,0,30.686,0
30.687,0,30.687,0
30.688,0,30.688,0
30.689,0,30.689,0
30.69,0,30.69,0
30.691,1,30.691,0
30.692,0,30.692,3
30.693,2,30.693,2
30.694,2,30.694,2
30.695,1,30.695,1
30.696,1,30.696,1
30.697,1,30.697,0
30.698,0,30.698,0
30.699,1,30.699,1
30.7,2,30.7,0
30.701,0,30.701,0
30.702,0,30.702,0
30.703,0,30.703,0
30.704,0,30.704,0
30.705,0,30.705,0
30.706,0,30.706,0
30.707,0,30.707,0
30.708,0,30.708,0
30.709,0,30.709,0
30.71,0,30.71,0
30.711,1,30.711,0
30.712,0,30.712,3
30.713,2,30.713,2
30.714,2,30.714,2
30.715,1,30.715,1
30.716,1,30.716,1
30.717,1,30.717,0
30.718,0,30.718,0
30.719,1,30.719,1
30.72,2,30.72,0
30.721,0,30.721,0
30.722,0,30.722,0
30.723,0,30.723,0
30.724,0,30.724,0
30.725,0,30.725,0
30.726,0,30.726,0
30.727,0,30.727,0
30.728,0,30.728,0
30.729,0,30.729,0
30.73,0,30.73,0
30.731,1,30.731,0
30.732,0,30.732,3
30.733,2,30.733,2
30.734,2,30.734,2
30.735,1,30.735,1
30.736,1,30.736,1
30.737,1,30.737,0
30.738,0,30.738,0
30.739,1,30.739,1
30.74,2,30.74,0
30.741,0,30.741,0
30.742,0,30.742,0
30.743,0,30.743,0
30.744,0,30.744,0
30.745,0,30.745,0
30.746,0,30.746,0
30.747,0,30.747,0
30.748,0,30.748,0
30.749,0,30.749,0
30.75,0,30.75,0
30.751,1,30.751,0
30.752,0,30.752,3
30.753,2,30.753,2
30.754,2,30.754,2
30.755,1,30.755,1
30.756,1,30.756,1
30.757,1,30.757,0
30.758,0,30.758,0
30.759,1,30.759,1
30.76,2,30.76,0
30.761,0,30.761,0
30.762,0,30.762,0
30.763,0,30.763,0
30.764,0,30.764,0
30.765,0,30.765,0
30.766,0,30.766,0
30.767,0,30.767,0
30.768,0,30.768,0
30.769,0,30.769,0
30.77,0,30.77,0
30.771,1,30.771,0
30.772,0,30.772,3
30.773,2,30.773,2
30.774,2,30.774,2
30.775,1,30.775,1
30.776,1,30.776,1
30.777,1,30.777,0
30.778,0,30.778,0
30.779,1,30.779,1
30.78,2,30.78,0
30.781,0,30.781,0
30.782,0,30.782,0
30.783,0,30.783,0
30.784,0,30.784,0
30.785,0,30.785,0
30.786,0,30.786,0
30.787,0,30.787,0
30.788,0,30.788,0
30.789,0,30.789,0
30.79,0,30.79,0
30.791,1,30.791,0
30.792,0,30.792,3
30.793,2,30.793,2
30.794,2,30.794,2
30.795,1,30.795,1
30.796,1,30.796,1
30.797,1,30.797,0
30.798,0,30.798,0
30.799,1,30.799,1
30.8,2,30.8,0
30.801,0,30.801,0
30.802,0,30.802,0
30.803,0,30.803,0
30.804,0,30.804,0
30.805,0,30.805,0
30.806,0,30.806,0
30.807,0,30.807,0
30.808,0,30.808,0
30.809,0,30.809,0
30.81,0,30.81,0
30.811,1,30.811,0
30.812,0,30.812,3
30.813,2,30.813,2
30.814,2,30.814,2
30.815,1,30.815,1
30.816,1,30.816,1
30.817,1,30.817,0
30.818,0,30.818,0
30.819,1,30.819,1
30.82,2,30.82,0
30.821,0,30.821,0
30.822,0,30.822,0
30.823,0,30.823,0
30.824,0,30.824,0
30.825,0,30.825,0
30.826,0,30.826,0
30.827,0,30.827,0
30.828,0,30.828,0
30.829,0,30.829,0
30.83,0,30.83,0
30.831,1,30.831,0
30.832,0,30.832,3
30.833,2,30.833,2
30.834,2,30.834,2
30.835,1,30.835,1
30.836,1,30.836,1
30.837,1,30.837,0
30.838,0,30.838,0
30.839,1,30.839,1
30.84,2,30.84,0
30.841,0,30.841,0
30.842,0,30.842,0
30.843,0,30.843,0
30.844,0,30.844,0
30.845,0,30.845,0
30.846,0,30.846,0
30.847,0,30.847,0
30.848,0,30.848,0
30.849,0,30.849,0
30.85,0,30.85,0
30.851,1,30.851,0
30.852,0,30.852,3
30.853,2,30.853,2
30.854,2,30.854,2
30.855,1,30.855,1
30.856,1,30.856,1
30.857,1,30.857,0
30.858,0,30.858,0
30.859,1,30.859,2
30.86,2,30.86,0
30.861,0,30.861,0
30.862,0,30.862,0
30.863,0,30.863,0
30.864,0,30.864,0
30.865,0,30.865,0
30.866,0,30.866,0
30.867,0,30.867,0
30.868,0,30.868,0
30.869,0,30.869,0
30.87,0,30.87,0
30.871,1,30.871,0
30.872,0,30.872,3
30.873,2,30.873,2
30.874,2,30.874,2
30.875,1,30.875,1
30.876,1,30.876,1
30.877,1,30.877,0
30.878,0,30.878,0
30.879,1,30.879,1
30.88,2,30.88,0
30.881,0,30.881,0
30.882,0,30.882,0
30.883,0,30.883,0
30.884,0,30.884,0
30.885,0,30.885,0
30.886,0,30.886,0
30.887,0,30.887,0
30.888,0,30.888,0
30.889,0,30.889,0
30.89,0,30.89,0
30.891,1,30.891,0
30.892,0,30.892,3
30.893,2,30.893,2
30.894,2,30.894,2
30.895,1,30.895,1
30.896,1,30.896,1
30.897,1,30.897,0
30.898,0,30.898,0
30.899,1,30.899,2
30.9,2,30.9,0
30.901,0,30.901,0
30.902,0,30.902,0
30.903,0,30.903,0
30.904,0,30.904,0
30.905,0,30.905,0
30.906,0,30.906,0
30.907,0,30.907,0
30.908,0,30.908,0
30.909,0,30.909,0
30.91,0,30.91,0
30.911,1,30.911,0
30.912,0,30.912,3
30.913,2,30.913,2
30.914,2,30.914,2
30.915,1,30.915,1
30.916,1,30.916,1
30.917,1,30.917,0
30.918,0,30.918,0
30.919,1,30.919,1
30.92,2,30.92,0
30.921,0,30.921,0
30.922,0,30.922,0
30.923,0,30.923,0
30.924,0,30.924,0
30.925,0,30.925,0
30.926,0,30.926,0
30.927,0,30.927,0
30.928,0,30.928,0
30.929,0,30.929,0
30.93,0,30.93,0
30.931,1,30.931,0
30.932,0,30.932,3
30.933,2,30.933,2
30.934,2,30.934,2
30.935,1,30.935,1
30.936,1,30.936,1
30.937,1,30.937,0
30.938,0,30.938,0
30.939,1,30.939,1
30.94,2,30.94,0
30.941,0,30.941,0
30.942,0,30.942,0
30.943,0,30.943,0
30.944,0,30.944,0
30.945,0,30.945,0
30.946,0,30.946,0
30.947,0,30.947,0
30.948,0,30.948,0
30.949,0,30.949,0
30.95,0,30.95,0
30.951,1,30.951,0
30.952,0,30.952,3
30.953,2,30.953,2
30.954,2,30.954,2
30.955,1,30.955,1
30.956,1,30.956,1
30.957,1,30.957,0
30.958,0,30.958,0
30.959,1,30.959,1
30.96,2,30.96,0
30.961,0,30.961,0
30.962,0,30.962,0
30.963,0,30.963,0
30.964,0,30.964,0
30.965,0,30.965,0
30.966,0,30.966,0
30.967,0,30.967,0
30.968,0,30.968,0
30.969,0,30.969,0
30.97,0,30.97,0
30.971,1,30.971,0
30.972,0,30.972,3
30.973,2,30.973,2
30.974,2,30.974,2
30.975,1,30.975,1
30.976,1,30.976,1
30.977,1,30.977,0
30.978,0,30.978,0
30.979,1,30.979,1
30.98,2,30.98,0
30.981,0,30.981,0
30.982,0,30.982,0
30.983,0,30.983,0
30.984,0,30.984,0
30.985,0,30.985,0
30.986,0,30.986,0
30.987,0,30.987,0
30.988,0,30.988,0
30.989,0,30.989,0
30.99,0,30.99,0
30.991,1,30.991,0
30.992,0,30.992,3
30.993,2,30.993,2
30.994,2,30.994,2
30.995,1,30.995,1
30.996,1,30.996,1
30.997,1,30.997,0
30.998,0,30.998,0
30.999,1,30.999,1
31,2,31,0
31.001,0,31.001,0
31.002,0,31.002,0
31.003,0,31.003,0
31.004,0,31.004,0
31.005,0,31.005,0
31.006,0,31.006,0
31.007,0,31.007,0
31.008,0,31.008,0
31.009,0,31.009,0
31.01,0,31.01,0
31.011,1,31.011,0
31.012,0,31.012,3
31.013,2,31.013,2
31.014,2,31.014,2
31.015,1,31.015,1
31.016,1,31.016,1
31.017,1,31.017,0
31.018,0,31.018,0
31.019,1,31.019,1
31.02,2,31.02,0
31.021,0,31.021,0
31.022,0,31.022,0
31.023,0,31.023,0
31.024,0,31.024,0
31.025,0,31.025,0
31.026,0,31.026,0
31.027,0,31.027,0
31.028,0,31.028,0
31.029,0,31.029,0
31.03,0,31.03,0
31.031,1,31.031,0
31.032,0,31.032,3
31.033,2,31.033,2
31.034,2,31.034,2
31.035,1,31.035,1
31.036,1,31.036,1
31.037,1,31.037,0
31.038,0,31.038,0
31.039,1,31.039,1
31.04,2,31.04,0
31.041,0,31.041,0
31.042,0,31.042,0
31.043,0,31.043,0
31.044,0,31.044,0
31.045,0,31.045,0
31.046,0,31.046,0
31.047,0,31.047,0
31.048,0,31.048,0
31.049,0,31.049,0
31.05,0,31.05,0
31.051,1,31.051,0
31.052,0,31.052,3
31.053,2,31.053,2
31.054,2,31.054,2
31.055,1,31.055,1
31.056,1,31.056,1
31.057,1,31.057,0
31.058,0,31.058,0
31.059,1,31.059,1
31.06,2,31.06,0
31.061,0,31.061,0
31.062,0,31.062,0
31.063,0,31.063,0
31.064,0,31.064,0
31.065,0,31.065,0
31.066,0,31.066,0
31.067,0,31.067,0
31.068,0,31.068,0
31.069,0,31.069,0
31.07,0,31.07,0
31.071,1,31.071,0
31.072,0,31.072,3
31.073,2,31.073,2
31.074,2,31.074,2
31.075,1,31.075,1
31.076,1,31.076,1
31.077,1,31.077,0
31.078,0,31.078,0
31.079,1,31.079,1
31.08,2,31.08,0
31.081,0,31.081,0
31.082,0,31.082,0
31.083,0,31.083,0
31.084,0,31.084,0
31.085,0,31.085,0
31.086,0,31.086,0
31.087,0,31.087,0
31.088,0,31.088,0
31.089,0,31.089,0
31.09,0,31.09,0
31.091,1,31.091,0
31.092,0,31.092,3
31.093,2,31.093,2
31.094,2,31.094,2
31.095,1,31.095,1
31.096,1,31.096,1
31.097,1,31.097,0
31.098,0,31.098,0
31.099,1,31.099,1
31.1,2,31.1,0
31.101,0,31.101,0
31.102,0,31.102,0
31.103,0,31.103,0
31.104,0,31.104,0
31.105,0,31.105,0
31.106,0,31.106,0
31.107,0,31.107,0
31.108,0,31.108,0
31.109,0,31.109,0
31.11,0,31.11,0
31.111,1,31.111,0
31.112,0,31.112,3
31.113,2,31.113,2
31.114,2,31.114,2
31.115,1,31.115,1
31.116,1,31.116,1
31.117,1,31.117,0
31.118,0,31.118,0
31.119,2,31.119,1
31.12,2,31.12,0
31.121,0,31.121,0
31.122,0,31.122,0
31.123,0,31.123,0
31.124,0,31.124,0
31.125,0,31.125,0
31.126,0,31.126,0
31.127,0,31.127,0
31.128,0,31.128,0
31.129,0,31.129,0
31.13,0,31.13,0
31.131,1,31.131,0
31.132,0,31.132,3
31.133,2,31.133,2
31.134,2,31.134,2
31.135,1,31.135,1
31.136,1,31.136,1
31.137,1,31.137,0
31.138,0,31.138,0
31.139,1,31.139,1
31.14,2,31.14,0
31.141,0,31.141,0
31.142,0,31.142,0
31.143,0,31.143,0
31.144,0,31.144,0
31.145,0,31.145,0
31.146,0,31.146,0
31.147,0,31.147,0
31.148,0,31.148,0
31.149,0,31.149,0
31.15,0,31.15,0
31.151,1,31.151,0
31.152,0,31.152,3
31.153,2,31.153,2
31.154,2,31.154,2
31.155,1,31.155,1
31.156,1,31.156,1
31.157,1,31.157,0
31.158,0,31.158,0
31.159,1,31.159,1
31.16,2,31.16,0
31.161,0,31.161,0
31.162,0,31.162,0
31.163,0,31.163,0
31.164,0,31.164,0
31.165,0,31.165,0
31.166,0,31.166,0
31.167,0,31.167,0
31.168,0,31.168,0
31.169,0,31.169,0
31.17,0,31.17,0
31.171,1,31.171,0
31.172,0,31.172,3
31.173,2,31.173,2
31.174,2,31.174,2
31.175,1,31.175,1
31.176,1,31.176,1
31.177,1,31.177,0
31.178,0,31.178,0
31.179,1,31.179,1
31.18,2,31.18,0
31.181,0,31.181,0
31.182,0,31.182,0
31.183,0,31.183,0
31.184,0,31.184,0
31.185,0,31.185,0
31.186,0,31.186,0
31.187,0,31.187,0
31.188,0,31.188,0
31.189,0,31.189,0
31.19,0,31.19,0
31.191,1,31.191,0
31.192,0,31.192,3
31.193,2,31.193,2
31.194,2,31.194,2
31.195,1,31.195,1
31.196,1,31.196,1
31.197,1,31.197,0
31.198,0,31.198,0
31.199,1,31.199,1
31.2,2,31.2,0
31.201,0,31.201,0
31.202,0,31.202,1
31.203,0,31.203,0
31.204,0,31.204,0
31.205,0,31.205,0
31.206,0,31.206,0
31.207,0,31.207,0
31.208,0,31.208,0
31.209,0,31.209,0
31.21,0,31.21,0
31.211,1,31.211,0
31.212,0,31.212,3
31.213,2,31.213,2
31.214,2,31.214,2
31.215,1,31.215,1
31.216,1,31.216,1
31.217,1,31.217,0
31.218,0,31.218,0
31.219,1,31.219,1
31.22,2,31.22,0
31.221,0,31.221,0
31.222,0,31.222,1
31.223,0,31.223,0
31.224,0,31.224,0
31.225,0,31.225,0
31.226,0,31.226,0
31.227,0,31.227,0
31.228,0,31.228,0
31.229,0,31.229,0
31.23,0,31.23,0
31.231,1,31.231,0
31.232,0,31.232,3
31.233,2,31.233,2
31.234,2,31.234,2
31.235,1,31.235,1
31.236,1,31.236,1
31.237,1,31.237,0
31.238,0,31.238,0
31.239,1,31.239,1
31.24,2,31.24,0
31.241,0,31.241,0
31.242,0,31.242,1
31.243,0,31.243,0
31.244,0,31.244,0
31.245,0,31.245,0
31.246,0,31.246,0
31.247,0,31.247,0
31.248,0,31.248,0
31.249,0,31.249,0
31.25,0,31.25,0
31.251,1,31.251,0
31.252,0,31.252,3
31.253,2,31.253,2
31.254,2,31.254,2
31.255,1,31.255,1
31.256,1,31.256,1
31.257,1,31.257,0
31.258,0,31.258,0
31.259,1,31.259,1
31.26,2,31.26,0
31.261,0,31.261,0
31.262,0,31.262,1
31.263,0,31.263,0
31.264,0,31.264,0
31.265,0,31.265,0
31.266,0,31.266,0
31.267,0,31.267,0
31.268,0,31.268,0
31.269,0,31.269,0
31.27,0,31.27,0
31.271,1,31.271,0
31.272,0,31.272,3
31.273,2,31.273,2
31.274,2,31.274,2
31.275,1,31.275,1
31.276,1,31.276,1
31.277,1,31.277,0
31.278,0,31.278,0
31.279,1,31.279,1
31.28,2,31.28,0
31.281,0,31.281,0
31.282,0,31.282,1
31.283,0,31.283,0
31.284,0,31.284,0
31.285,0,31.285,0
31.286,0,31.286,0
31.287,0,31.287,0
31.288,0,31.288,0
31.289,0,31.289,0
31.29,0,31.29,0
31.291,1,31.291,0
31.292,0,31.292,3
31.293,2,31.293,2
31.294,2,31.294,2
31.295,1,31.295,1
31.296,1,31.296,1
31.297,1,31.297,0
31.298,0,31.298,0
31.299,1,31.299,1
31.3,2,31.3,0
31.301,0,31.301,0
31.302,0,31.302,1
31.303,0,31.303,0
31.304,0,31.304,0
31.305,0,31.305,0
31.306,0,31.306,0
31.307,0,31.307,0
31.308,0,31.308,0
31.309,0,31.309,0
31.31,0,31.31,0
31.311,1,31.311,0
31.312,0,31.312,3
31.313,2,31.313,2
31.314,2,31.314,2
31.315,1,31.315,1
31.316,1,31.316,1
31.317,1,31.317,0
31.318,0,31.318,0
31.319,1,31.319,1
31.32,2,31.32,0
31.321,0,31.321,0
31.322,0,31.322,1
31.323,0,31.323,0
31.324,0,31.324,0
31.325,0,31.325,0
31.326,0,31.326,0
31.327,0,31.327,0
31.328,0,31.328,0
31.329,0,31.329,0
31.33,0,31.33,0
31.331,1,31.331,0
31.332,0,31.332,3
31.333,2,31.333,2
31.334,2,31.334,2
31.335,1,31.335,1
31.336,1,31.336,1
31.337,1,31.337,0
31.338,0,31.338,0
31.339,1,31.339,1
31.34,2,31.34,0
31.341,0,31.341,0
31.342,0,31.342,1
31.343,0,31.343,0
31.344,0,31.344,0
31.345,0,31.345,0
31.346,0,31.346,0
31.347,0,31.347,0
31.348,0,31.348,0
31.349,0,31.349,0
31.35,0,31.35,0
31.351,1,31.351,0
31.352,0,31.352,3
31.353,2,31.353,2
31.354,2,31.354,2
31.355,1,31.355,1
31.356,1,31.356,1
31.357,1,31.357,0
31.358,0,31.358,0
31.359,1,31.359,1
31.36,2,31.36,0
31.361,0,31.361,0
31.362,0,31.362,1
31.363,0,31.363,0
31.364,0,31.364,0
31.365,0,31.365,0
31.366,0,31.366,0
31.367,0,31.367,0
31.368,0,31.368,0
31.369,0,31.369,0
31.37,0,31.37,0
31.371,1,31.371,0
31.372,0,31.372,3
31.373,2,31.373,2
31.374,2,31.374,2
31.375,1,31.375,1
31.376,1,31.376,1
31.377,1,31.377,0
31.378,0,31.378,0
31.379,1,31.379,1
31.38,2,31.38,0
31.381,0,31.381,0
31.382,0,31.382,1
31.383,0,31.383,0
31.384,0,31.384,0
31.385,0,31.385,0
31.386,0,31.386,0
31.387,0,31.387,0
31.388,0,31.388,0
31.389,0,31.389,0
31.39,0,31.39,0
31.391,1,31.391,0
31.392,0,31.392,3
31.393,2,31.393,2
31.394,2,31.394,2
31.395,1,31.395,1
31.396,1,31.396,1
31.397,1,31.397,0
31.398,0,31.398,0
31.399,1,31.399,1
31.4,2,31.4,0
31.401,0,31.401,0
31.402,0,31.402,1
31.403,0,31.403,0
31.404,0,31.404,0
31.405,0,31.405,0
31.406,0,31.406,0
31.407,0,31.407,0
31.408,0,31.408,0
31.409,0,31.409,0
31.41,0,31.41,0
31.411,1,31.411,0
31.412,0,31.412,3
31.413,2,31.413,2
31.414,2,31.414,2
31.415,1,31.415,1
31.416,1,31.416,1
31.417,1,31.417,0
31.418,0,31.418,0
31.419,2,31.419,1
31.42,2,31.42,0
31.421,0,31.421,0
31.422,0,31.422,1
31.423,0,31.423,0
31.424,0,31.424,0
31.425,0,31.425,0
31.426,0,31.426,0
31.427,0,31.427,0
31.428,0,31.428,0
31.429,0,31.429,0
31.43,0,31.43,0
31.431,1,31.431,0
31.432,0,31.432,3
31.433,2,31.433,2
31.434,2,31.434,2
31.435,1,31.435,1
31.436,1,31.436,1
31.437,1,31.437,0
31.438,0,31.438,0
31.439,2,31.439,1
31.44,2,31.44,0
31.441,0,31.441,0
31.442,0,31.442,1
31.443,0,31.443,0
31.444,0,31.444,0
31.445,0,31.445,0
31.446,0,31.446,0
31.447,0,31.447,0
31.448,0,31.448,0
31.449,0,31.449,0
31.45,0,31.45,0
31.451,1,31.451,0
31.452,0,31.452,3
31.453,2,31.453,2
31.454,2,31.454,2
31.455,1,31.455,1
31.456,1,31.456,1
31.457,1,31.457,0
31.458,0,31.458,0
31.459,2,31.459,1
31.46,2,31.46,0
31.461,0,31.461,0
31.462,0,31.462,1
31.463,0,31.463,0
31.464,0,31.464,0
31.465,0,31.465,0
31.466,0,31.466,0
31.467,0,31.467,0
31.468,0,31.468,0
31.469,0,31.469,0
31.47,0,31.47,0
31.471,1,31.471,0
31.472,0,31.472,3
31.473,2,31.473,2
31.474,2,31.474,2
31.475,1,31.475,1
31.476,1,31.476,1
31.477,1,31.477,0
31.478,0,31.478,0
31.479,2,31.479,1
31.48,2,31.48,0
31.481,0,31.481,0
31.482,0,31.482,1
31.483,0,31.483,0
31.484,0,31.484,0
31.485,0,31.485,0
31.486,0,31.486,0
31.487,0,31.487,0
31.488,0,31.488,0
31.489,0,31.489,0
31.49,0,31.49,0
31.491,1,31.491,0
31.492,0,31.492,3
31.493,2,31.493,2
31.494,2,31.494,2
31.495,1,31.495,1
31.496,1,31.496,1
31.497,1,31.497,0
31.498,0,31.498,0
31.499,2,31.499,1
31.5,2,31.5,0
31.501,0,31.501,0
31.502,0,31.502,1
31.503,0,31.503,0
31.504,0,31.504,0
31.505,0,31.505,0
31.506,0,31.506,0
31.507,0,31.507,0
31.508,0,31.508,0
31.509,0,31.509,0
31.51,0,31.51,0
31.511,1,31.511,0
31.512,0,31.512,3
31.513,2,31.513,2
