Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
0.254,2,0.254,2
0.255,1,0.255,1
0.256,1,0.256,1
0.257,1,0.257,0
0.258,0,0.258,1
0.259,1,0.259,1
0.26,2,0.26,0
0.261,0,0.261,1
0.262,0,0.262,0
0.263,0,0.263,0
0.264,0,0.264,0
0.265,0,0.265,0
0.266,0,0.266,0
0.267,0,0.267,0
0.268,0,0.268,0
0.269,0,0.269,0
0.27,0,0.27,0
0.271,1,0.271,0
0.272,0,0.272,3
0.273,1,0.273,2
0.274,2,0.274,2
0.275,1,0.275,1
0.276,1,0.276,1
0.277,1,0.277,0
0.278,0,0.278,0
0.279,1,0.279,1
0.28,2,0.28,0
0.281,1,0.281,1
0.282,0,0.282,0
0.283,0,0.283,0
0.284,0,0.284,0
0.285,0,0.285,0
0.286,0,0.286,0
0.287,0,0.287,0
0.288,0,0.288,0
0.289,0,0.289,0
0.29,0,0.29,0
0.291,1,0.291,0
0.292,0,0.292,3
0.293,1,0.293,2
0.294,2,0.294,2
0.295,1,0.295,1
0.296,1,0.296,1
0.297,1,0.297,0
0.298,0,0.298,0
0.299,1,0.299,1
0.3,2,0.3,1
0.301,1,0.301,1
0.302,0,0.302,0
0.303,0,0.303,0
0.304,0,0.304,0
0.305,0,0.305,0
0.306,0,0.306,0
0.307,0,0.307,0
0.308,0,0.308,0
0.309,0,0.309,0
0.31,0,0.31,0
0.311,1,0.311,0
0.312,0,0.312,3
0.313,1,0.313,2
0.314,2,0.314,2
0.315,1,0.315,1
0.316,1,0.316,1
0.317,1,0.317,0
0.318,0,0.318,0
0.319,1,0.319,1
0.32,2,0.32,0
0.321,1,0.321,1
0.322,0,0.322,0
0.323,0,0.323,0
0.324,0,0.324,0
0.325,0,0.325,1
0.326,0,0.326,0
0.327,1,0.327,0
0.328,0,0.328,0
0.329,0,0.329,0
0.33,0,0.33,0
0.331,1,0.331,0
0.332,0,0.332,3
0.333,1,0.333,2
0.334,2,0.334,2
0.335,1,0.335,1
0.336,1,0.336,1
0.337,1,0.337,0
0.338,0,0.338,0
0.339,1,0.339,1
0.34,2,0.34,0
0.341,1,0.341,1
0.342,0,0.342,0
0.343,0,0.343,0
0.344,0,0.344,0
0.345,0,0.345,1
0.346,0,0.346,0
0.347,0,0.347,0
0.348,0,0.348,0
0.349,0,0.349,0
0.35,0,0.35,0
0.351,1,0.351,0
0.352,0,0.352,3
0.353,1,0.353,2
0.354,2,0.354,2
0.355,1,0.355,1
0.356,1,0.356,1
0.357,1,0.357,0
0.358,0,0.358,0
0.359,1,0.359,1
0.36,2,0.36,0
0.361,1,0.361,1
0.362,0,0.362,0
0.363,0,0.363,0
0.364,0,0.364,0
0.365,0,0.365,1
0.366,0,0.366,0
0.367,1,0.367,0
0.368,0,0.368,0
0.369,0,0.369,0
0.37,0,0.37,0
0.371,1,0.371,0
0.372,0,0.372,3
0.373,1,0.373,2
0.374,2,0.374,2
0.375,1,0.375,1
0.376,1,0.376,1
0.377,1,0.377,0
0.378,0,0.378,1
0.379,1,0.379,1
0.38,2,0.38,0
0.381,0,0.381,1
0.382,0,0.382,0
0.383,0,0.383,0
0.384,0,0.384,0
0.385,0,0.385,1
0.386,0,0.386,0
0.387,0,0.387,0
0.388,0,0.388,0
0.389,0,0.389,0
0.39,0,0.39,0
0.391,1,0.391,0
0.392,0,0.392,3
0.393,1,0.393,2
0.394,2,0.394,2
0.395,1,0.395,1
0.396,1,0.396,1
0.397,1,0.397,0
0.398,0,0.398,0
0.399,1,0.399,1
0.4,2,0.4,0
0.401,1,0.401,1
0.402,0,0.402,0
0.403,0,0.403,0
0.404,0,0.404,0
0.405,0,0.405,1
0.406,0,0.406,0
0.407,0,0.407,0
0.408,0,0.408,0
0.409,0,0.409,0
0.41,0,0.41,0
0.411,1,0.411,0
0.412,0,0.412,3
0.413,1,0.413,2
0.414,2,0.414,2
0.415,1,0.415,1
0.416,1,0.416,1
0.417,1,0.417,0
0.418,0,0.418,0
0.419,1,0.419,1
0.42,2,0.42,0
0.421,0,0.421,1
0.422,0,0.422,0
0.423,0,0.423,0
0.424,0,0.424,0
0.425,0,0.425,0
0.426,0,0.426,0
0.427,0,0.427,0
0.428,0,0.428,0
0.429,0,0.429,0
0.43,0,0.43,0
0.431,1,0.431,0
0.432,0,0.432,3
0.433,1,0.433,2
